pointID,name,transliteration,english,pinyin,korean,romaji,vietnamese,alternative
GB-4,頷厭,Hanyan,Jaw Serenity,hàn yàn,ha yeom 함염,gan en,Hàm yến,
GB-5,懸顱,Xuanlu,Suspended Skull,xuán lú,hyeol lo 현로,ken ro,Huyền lư,
GB-6,懸厘,Xuanli,Suspended Hair,xuán lí,hyeol li 현리,ken ri,Huyền ly,
GB-7,曲鬢,Qubin,Crook of the Temple,qū bìn,gok bin 곡빈,kyoku bin(?),Khúc tân,
GB-8,率谷,Shuaigu,Leading Valley,shuài gǔ,sol gok 솔곡,sok koku?,Suất cốc,
GB-9,天沖,Tianchong,Heavenly Rushing,tiān chōng,cheon chung 천충,ten shō?,Thiên xung,
GB-10,浮白,Fubai,Floating White,fú bái,bu baek 부백,fu haku(?),Phù bạch,
GB-11,頭竅陰,Touqiaoyin,Yin Portals of the Head,tóu qiào yīn,[du] gyu eum [두] 규음,atama kyō in,Đầu khiếu âm,
GB-12,完骨,Wangu,Mastoid Process,wán gǔ,wan gol 완골,kan kotsu,Hoàn cốt,
GB-13,本神,Benshen,Root of the Spirit,běn shén,bon sin 본신,hon jin,Bản thần,
GB-14,陽白,Yangbai,Yang White,yáng bái,yang baek 양백,yō haku,Dương bạch,
GB-15,頭臨泣,Toulinqi,Head Governor of Tears,tóu lín qì,[du] im eup [두] 임읍,atama no rin kyū,Đầu lâm khấp,
GB-16,目窗,Muchuang,Window of the Eye,mù chuāng,mok chang 목창,moku sō,Mục song,
GB-17,正營,Zhengying,Upright Nutrition,zhèng yíng,jyeong yeong 정영,shō ei,Chính dinh,
GB-18,承靈,Chengling,Support Spirit,chéng líng,seung nyeong 승령,shō rei,Thừa linh,
GB-19,腦空,Naokong,Brain Hollow,nǎo kōng,noe gong 뇌공,nō kū,Não không,
GB-20,風池,Fengchi,Wind Pool,fēng chí,pung ji 풍지,fū chi,Phong trì,
GB-21,肩井,Jianjing,Shoulder Well,jīan jǐng,gyeon jeong 견정,ken sei,Kiên tỉnh,
GB-22,淵腋,Yuanye,Armpit Abyss,yuān yè,yeon aek 연액,en eki(?),Uyển dịch,
GB-23,輒筋,Zhejin,Flank Sinews,zhé jīn,cheop geun 첩근,chō kin?,Triếp cân,
GB-24,日月,Riyue,Sun and Moon,rì yuè,il weol 일월,jitsu getsu,Nhật nguyệt,
GB-25,京門,Jingmen,Capital Gate,jīng mén,gyeong mun 경문,kei mon,Kinh môn,
GB-26,帶脈,Daimai,Girdling Vessel,dài mài,dae maek 대맥,tai myaku,Đới mạch,
GB-27,五樞,Wushu,Five Pivots,wǔ shū,o chu 오추,gō sū,Ngũ khu,
GB-28,維道,Weidao,Linking Path,wéi dào,yu do 유도,yui dō,Duy đạo,
GB-29,居髎,Juliao,Stationary Crevice,jū liáo,geo ryo 거료,kyo ryō,Cự liêu,
GB-30,環跳,Huantiao,Jumping Circle,huán tiào,hwan do 환도,kan chō,Hoàn khiêu,
GB-31,風市,Fengshi,Wind Market,fēng shì,pung si 풍시,fū shi,Phong thị,
GB-32,中瀆,Zhongdu,Middle Ditch,zhōng dú,jung dok 중독,chū toku?,Trung độc,
GB-33,膝陽關,Xiyangguan,Knee Yang Gate,xī yáng guān,[seul] yang gwan [슬] 양관,hiza no yō kan?,(Tất) Dương quan,
GB-34,陽陵泉,Yanglingquan,Yang Mound Spring,yáng líng quán,yang neung cheon 양릉천,yō ryō sen,Dương lăng tuyền,
GB-35,陽交,Yangjiao,Yang Intersection,yáng jiāo,yang gyo 양교,yō ko,Dương giao,
GB-36,外丘,Waiqiu,Outer Hill,wài qiū,woe gu 외구,gai kyū,Ngoại khâu,
GB-37,光明,Guangming,Bright Light,guāng míng,gwang myeong 광명,kō mei?,Quang minh,
GB-38,陽輔,Yangfu,Yang Assistance,yáng fǔ,yang bo 양보,yō ho,Dương phụ,
GB-39,懸鐘[d],Xuanzhong,Suspended Bell,xuán zhōng,hyeon jong 현종/jeol gol 절골,ken shō,Huyền chung,
GB-40,丘墟,Qiuxu,Mound of Ruins,qiū xū,gu heo 구허,kyū kyo,Khâu khư,
GB-41,足臨泣,Zulinqi,Foot Governor of Tears,zú lín qì,[jok] im eup [족] 임읍,ashi no rin kyū,Túc lâm khấp,
GB-42,地五會,Diwuhui,Earth Five Meetings,dì wǔ huì,ji o hoe 지오회,chi go e(?),Địa ngũ hội,
GB-43,俠谿,Xiaxi,Clamped Stream,xiá xī,hyeop gye 협계,kyō kei?,Hiệp khê,
GB-44,足竅陰,Zuqiaoyin,Yin Portals of the Foot,zú qiào yīn,[jok] gyu eum [족] 규음,ashi no kyō in,Túc khiếu âm ,
LV-1,大敦,Dadun,dà dūn,Great and Thick,dae don 대돈,tai ton,Đại đôn,
LV-2,行間,Xingjian,xíng jiān,Interval Pass,haeng gan 행간,kō kan,Hành gian,
LV-3,太沖,Taichong,taì chōng,Supreme Rush,tae chung 태충,tai shō,Thái xung,
LV-4,中封,Zhongfeng,zhōng fēng,Middle Margin,jung bong 중봉,chū hō,Trung phong,
LV-5,蠡溝,Ligou,lǐ gōu,Gnawed Channel,yeo gu 여구,rei kō,Lãi câu,
LV-6,中都,Zhongdu,zhōng dū,Central Capital,jung do 중도,chū to,Trung đô,
LV-7,膝關,Xiguan,xī guān,Knee Pass,seul gwan 슬관,shitsu kan,Tất quan,
LV-8,曲泉,Ququan,qū quán,Pool Spring,gok cheon 곡천,kyoku sen,Khúc tuyền,
LV-9,陰包,Yinbao,yīn bāo,Yin Wrapping,eum bo 음보,im pō?,Âm bao,
LV-10,足五里,Zuwuli,zú wǔ li,Foot Governor of Tears,[jok] o ri [족] 오리,ashi no go ri?,(Túc) Ngũ lý,
LV-11,陰廉,Yinlian,yīn lián,Yin Side,eum yeom 음염,in ren(?),Âm liêm,
LV-12,急脈,Jimai,jí mài,Swift Pulse,geum maek 금맥,kyū myaku?,Cấp mạch,
LV-13,章門,Zhangmen,zhāng mén,Gate of the Ordering,jang mun 장문,shō mon,Chương môn,
LV-14,期門,Qimen,qí mén,Cyclic Gate,gi mun 기문,ki mon,Kỳ môn,
